GO_ID	GO_NAME	ANNOTATION_EXTENSION
GO:0004721	phosphoprotein phosphatase activity	activated_by(CHEBI:18420)
GO:0004520	endodeoxyribonuclease activity	activated_by(CHEBI:18420)
GO:0004672	protein kinase activity	activated_by(CHEBI:18420)
GO:0008420	CTD phosphatase activity	activated_by(CHEBI:18420)
GO:0043531	ADP binding	activated_by(CHEBI:18420)
GO:0004035	alkaline phosphatase activity	activated_by(CHEBI:18420)
GO:0043141	ATP-dependent 5'-3' DNA helicase activity	activated_by(CHEBI:18420)
GO:1901671	positive regulation of superoxide dismutase activity	activated_by(CHEBI:23378
GO:0030284	estrogen receptor activity	activated_by(CHEBI:23965
GO:0043547	positive regulation of GTPase activity	activated_by(CHEBI:26034)
GO:0017112	Rab guanyl-nucleotide exchange factor activity	activated_by(CHEBI:26034)
GO:0004016	adenylate cyclase activity	activated_by(CHEBI:26710
GO:0046403	polynucleotide 3'-phosphatase activity	activated_by(CHEBI:26710)
GO:0032450	maltose alpha-glucosidase activity	activated_by(CHEBI:26710)
GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	activated_by(CHEBI:28107)
GO:0038181	bile acid receptor activity	activated_by(CHEBI:28834)
GO:0051864	histone demethylase activity (H3-K36 specific)	activated_by(CHEBI:29033)
GO:0016706	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	activated_by(CHEBI:29033)
GO:0004674	protein serine/threonine kinase activity	activated_by(CHEBI:29035
GO:0008420	CTD phosphatase activity	activated_by(CHEBI:29035)
GO:0008821	crossover junction endodeoxyribonuclease activity	activated_by(CHEBI:29035)
GO:0004382	guanosine-diphosphatase activity	activated_by(CHEBI:29035)
GO:0016887	ATPase activity	activated_by(CHEBI:29035)
GO:0004016	adenylate cyclase activity	activated_by(CHEBI:29035)
GO:0004651	polynucleotide 5'-phosphatase activity	activated_by(CHEBI:29035)
GO:0004693	cyclin-dependent protein serine/threonine kinase activity	activated_by(CHEBI:29035)
GO:0043141	ATP-dependent 5'-3' DNA helicase activity	activated_by(CHEBI:29035)
GO:0004029	aldehyde dehydrogenase (NAD) activity	activated_by(CHEBI:29103)
GO:0008441	3'(2'),5'-bisphosphate nucleotidase activity	activated_by(CHEBI:29103)
GO:0004743	pyruvate kinase activity	activated_by(CHEBI:29103)
GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity	activated_by(CHEBI:29103)
GO:0004598	peptidylamidoglycolate lyase activity	activated_by(CHEBI:29105)
GO:0042500	aspartic endopeptidase activity, intramembrane cleaving	activated_by(CHEBI:29105)
GO:0015276	ligand-gated ion channel activity	activated_by(CHEBI:29105)
GO:0033699	DNA 5'-adenosine monophosphate hydrolase activity	activated_by(CHEBI:29105)
GO:0098744	1-phosphatidylinositol 4-kinase activator activity	activated_by(CHEBI:29108
GO:0004371	glycerone kinase activity	activated_by(CHEBI:29108)
GO:0090630	activation of GTPase activity	activated_by(CHEBI:29108)
GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity	activated_by(CHEBI:29108)
GO:0003980	UDP-glucose:glycoprotein glucosyltransferase activity	activated_by(CHEBI:29108)
GO:0004382	guanosine-diphosphatase activity	activated_by(CHEBI:29108)
GO:0001849	complement component C1q binding	activated_by(CHEBI:29108)
GO:0046982	protein heterodimerization activity	activated_by(CHEBI:29108)
GO:0042803	protein homodimerization activity	activated_by(CHEBI:29108)
GO:0046790	virion binding	activated_by(CHEBI:29108)
GO:0005515	protein binding	activated_by(CHEBI:29108)
GO:0050839	cell adhesion molecule binding	activated_by(CHEBI:29108)
GO:0005516	calmodulin binding	activated_by(CHEBI:29108)
GO:0005537	mannose binding	activated_by(CHEBI:29108)
GO:0003917	DNA topoisomerase type I activity	activated_by(CHEBI:32588)
GO:0032450	maltose alpha-glucosidase activity	activated_by(CHEBI:32599)
GO:0032450	maltose alpha-glucosidase activity	activated_by(CHEBI:3312)
GO:0016990	arginine deiminase activity	activated_by(CHEBI:3312)
GO:0004874	aryl hydrocarbon receptor activity	activated_by(CHEBI:34342
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	activated_by(CHEBI:42588)
GO:0008420	CTD phosphatase activity	activated_by(CHEBI:48828)
GO:0016887	ATPase activity	activated_by(CHEBI:48828)
GO:0043547	positive regulation of GTPase activity	activated_by(CHEBI:60568
GO:0017112	Rab guanyl-nucleotide exchange factor activity	activated_by(CHEBI:60568
GO:0033682	ATP-dependent 5'-3' DNA/RNA helicase activity	activated_by(CHEBI:63041)
GO:0004672	protein kinase activity	activated_by(CHEBI:63041)
GO:0046403	polynucleotide 3'-phosphatase activity	activated_by(CHEBI:63041)
GO:0017116	single-stranded DNA-dependent ATP-dependent DNA helicase activity	activated_by(CHEBI:63041)
GO:0032575	ATP-dependent 5'-3' RNA helicase activity	activated_by(CHEBI:63041)
GO:0004725	protein tyrosine phosphatase activity	activated_by(CHEBI:63247
GO:0032450	maltose alpha-glucosidase activity	activated_by(CHEBI:63317)
GO:0004525	ribonuclease III activity	activated_by(CHEBI:6636)
GO:0046403	polynucleotide 3'-phosphatase activity	activated_by(CHEBI:6636)
GO:0017116	single-stranded DNA-dependent ATP-dependent DNA helicase activity	activated_by(CHEBI:6636)
GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity	activated_by(CHEBI:6636)
GO:0033682	ATP-dependent 5'-3' DNA/RNA helicase activity	activated_by(CHEBI:6636)
GO:0032575	ATP-dependent 5'-3' RNA helicase activity	activated_by(CHEBI:6636)
GO:0001671	ATPase activator activity	activated_by(CHEBI:8758)
GO:0032781	positive regulation of ATPase activity	activated_by(CHEBI:8758)
GO:0001833	inner cell mass cell proliferation	acts_on_population_of(CL:0000007)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000007)
GO:0007405	neuroblast proliferation	acts_on_population_of(CL:0000011)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000020)
GO:0048872	homeostasis of number of cells	acts_on_population_of(CL:0000023)
GO:0007405	neuroblast proliferation	acts_on_population_of(CL:0000031)
GO:0007405	neuroblast proliferation	acts_on_population_of(CL:0000031)
GO:0007405	neuroblast proliferation	acts_on_population_of(CL:0000031)
GO:0007405	neuroblast proliferation	acts_on_population_of(CL:0000031)
GO:0007405	neuroblast proliferation	acts_on_population_of(CL:0000031)
GO:0007405	neuroblast proliferation	acts_on_population_of(CL:0000031)
GO:0007405	neuroblast proliferation	acts_on_population_of(CL:0000031)
GO:0007405	neuroblast proliferation	acts_on_population_of(CL:0000031)
GO:0007405	neuroblast proliferation	acts_on_population_of(CL:0000031)
GO:0016477	cell migration	acts_on_population_of(CL:0000032
GO:0016477	cell migration	acts_on_population_of(CL:0000032)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000034)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000036)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000036)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000037)
GO:0071425	hematopoietic stem cell proliferation	acts_on_population_of(CL:0000037)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000037)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000037)
GO:0019827	stem cell population maintenance	acts_on_population_of(CL:0000037)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000037)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000037)
GO:0034101	erythrocyte homeostasis	acts_on_population_of(CL:0000038)
GO:0034101	erythrocyte homeostasis	acts_on_population_of(CL:0000038)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000038)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000047)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000047)
GO:0097150	neuronal stem cell population maintenance	acts_on_population_of(CL:0000047)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000047)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000047)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000047)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000047)
GO:0097150	neuronal stem cell population maintenance	acts_on_population_of(CL:0000047)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000047)
GO:0021846	cell proliferation in forebrain	acts_on_population_of(CL:0000047)
GO:0021846	cell proliferation in forebrain	acts_on_population_of(CL:0000047)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000047)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000047)
GO:0061351	neural precursor cell proliferation	acts_on_population_of(CL:0000047)
GO:0072309	mesenchymal stem cell maintenance involved in metanephric nephron morphogenesis	acts_on_population_of(CL:0000048
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000048)
GO:0001777	T cell homeostatic proliferation	acts_on_population_of(CL:0000051)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000056)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000057)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000057)
GO:1903393	positive regulation of adherens junction organization	acts_on_population_of(CL:0000066
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:0000066
GO:0033598	mammary gland epithelial cell proliferation	acts_on_population_of(CL:0000066)
GO:1903387	positive regulation of homophilic cell adhesion	acts_on_population_of(CL:0000066)
GO:0072203	cell proliferation involved in metanephros development	acts_on_population_of(CL:0000066)
GO:0033598	mammary gland epithelial cell proliferation	acts_on_population_of(CL:0000066)
GO:0010632	regulation of epithelial cell migration	acts_on_population_of(CL:0000066)
GO:2001286	regulation of caveolin-mediated endocytosis	acts_on_population_of(CL:0000066)
GO:0033598	mammary gland epithelial cell proliferation	acts_on_population_of(CL:0000066)
GO:0060664	epithelial cell proliferation involved in salivary gland morphogenesis	acts_on_population_of(CL:0000066)
GO:0050673	epithelial cell proliferation	acts_on_population_of(CL:0000066)
GO:0022407	regulation of cell-cell adhesion	acts_on_population_of(CL:0000066)
GO:2000641	regulation of early endosome to late endosome transport	acts_on_population_of(CL:0000066)
GO:0002043	blood vessel endothelial cell proliferation involved in sprouting angiogenesis	acts_on_population_of(CL:0000071)
GO:0001954	positive regulation of cell-matrix adhesion	acts_on_population_of(CL:0000084
GO:1903237	negative regulation of leukocyte tethering or rolling	acts_on_population_of(CL:0000084
GO:0046598	positive regulation of viral entry into host cell	acts_on_population_of(CL:0000084
GO:0008009	chemokine activity	acts_on_population_of(CL:0000084
GO:0060326	cell chemotaxis	acts_on_population_of(CL:0000084
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:0000084
GO:0050798	activated T cell proliferation	acts_on_population_of(CL:0000084)
GO:0042267	natural killer cell mediated cytotoxicity	acts_on_population_of(CL:0000084)
GO:0030336	negative regulation of cell migration	acts_on_population_of(CL:0000084)
GO:0042098	T cell proliferation	acts_on_population_of(CL:0000084)
GO:0042098	T cell proliferation	acts_on_population_of(CL:0000084)
GO:0046598	positive regulation of viral entry into host cell	acts_on_population_of(CL:0000084)
GO:0050901	leukocyte tethering or rolling	acts_on_population_of(CL:0000084)
GO:0002260	lymphocyte homeostasis	acts_on_population_of(CL:0000084)
GO:0042098	T cell proliferation	acts_on_population_of(CL:0000084)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000084)
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:0000084)
GO:0007160	cell-matrix adhesion	acts_on_population_of(CL:0000084)
GO:0030718	germ-line stem cell population maintenance	acts_on_population_of(CL:0000085)
GO:0033687	osteoblast proliferation	acts_on_population_of(CL:0000092)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000100)
GO:0010812	negative regulation of cell-substrate adhesion	acts_on_population_of(CL:0000101)
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:0000115
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:0000115
GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	acts_on_population_of(CL:0000115)
GO:1904728	positive regulation of replicative senescence	acts_on_population_of(CL:0000115)
GO:0061041	regulation of wound healing	acts_on_population_of(CL:0000115)
GO:0021846	cell proliferation in forebrain	acts_on_population_of(CL:0000117)
GO:0048872	homeostasis of number of cells	acts_on_population_of(CL:0000121)
GO:0009987	cellular process	acts_on_population_of(CL:0000129)
GO:0032760	positive regulation of tumor necrosis factor production	acts_on_population_of(CL:0000129)
GO:2000778	positive regulation of interleukin-6 secretion	acts_on_population_of(CL:0000129)
GO:0050673	epithelial cell proliferation	acts_on_population_of(CL:0000132)
GO:0001649	osteoblast differentiation	acts_on_population_of(CL:0000134)
GO:0046007	negative regulation of activated T cell proliferation	acts_on_population_of(CL:0000134)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000138)
GO:0002064	epithelial cell development	acts_on_population_of(CL:0000162)
GO:0044342	type B pancreatic cell proliferation	acts_on_population_of(CL:0000169)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000169)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000169)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000171)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000171)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000182)
GO:0046716	muscle cell cellular homeostasis	acts_on_population_of(CL:0000188)
GO:0048659	smooth muscle cell proliferation	acts_on_population_of(CL:0000192)
GO:0045499	chemorepellent activity	acts_on_population_of(CL:0000192)
GO:0050919	negative chemotaxis	acts_on_population_of(CL:0000192)
GO:0048659	smooth muscle cell proliferation	acts_on_population_of(CL:0000192)
GO:0060011	Sertoli cell proliferation	acts_on_population_of(CL:0000216)
GO:0042127	regulation of cell proliferation	acts_on_population_of(CL:0000216)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000221)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000221)
GO:0034101	erythrocyte homeostasis	acts_on_population_of(CL:0000232)
GO:0034101	erythrocyte homeostasis	acts_on_population_of(CL:0000232)
GO:0030336	negative regulation of cell migration	acts_on_population_of(CL:0000235
GO:0010628	positive regulation of gene expression	acts_on_population_of(CL:0000235
GO:0010628	positive regulation of gene expression	acts_on_population_of(CL:0000235
GO:2000484	positive regulation of interleukin-8 secretion	acts_on_population_of(CL:0000235
GO:2000484	positive regulation of interleukin-8 secretion	acts_on_population_of(CL:0000235
GO:0010628	positive regulation of gene expression	acts_on_population_of(CL:0000235)
GO:0010628	positive regulation of gene expression	acts_on_population_of(CL:0000235)
GO:0010628	positive regulation of gene expression	acts_on_population_of(CL:0000235)
GO:0010628	positive regulation of gene expression	acts_on_population_of(CL:0000235)
GO:2000484	positive regulation of interleukin-8 secretion	acts_on_population_of(CL:0000235)
GO:2000484	positive regulation of interleukin-8 secretion	acts_on_population_of(CL:0000235)
GO:2000484	positive regulation of interleukin-8 secretion	acts_on_population_of(CL:0000235)
GO:2000484	positive regulation of interleukin-8 secretion	acts_on_population_of(CL:0000235)
GO:0002322	B cell proliferation involved in immune response	acts_on_population_of(CL:0000236
GO:0001782	B cell homeostasis	acts_on_population_of(CL:0000236)
GO:0001782	B cell homeostasis	acts_on_population_of(CL:0000236)
GO:0001782	B cell homeostasis	acts_on_population_of(CL:0000236)
GO:0002260	lymphocyte homeostasis	acts_on_population_of(CL:0000236)
GO:0042100	B cell proliferation	acts_on_population_of(CL:0000236)
GO:0002322	B cell proliferation involved in immune response	acts_on_population_of(CL:0000236)
GO:0043616	keratinocyte proliferation	acts_on_population_of(CL:0000312)
GO:0043616	keratinocyte proliferation	acts_on_population_of(CL:0000312)
GO:0030336	negative regulation of cell migration	acts_on_population_of(CL:0000312)
GO:0001558	regulation of cell growth	acts_on_population_of(CL:0000312)
GO:2000484	positive regulation of interleukin-8 secretion	acts_on_population_of(CL:0000312)
GO:0043616	keratinocyte proliferation	acts_on_population_of(CL:0000312)
GO:0043616	keratinocyte proliferation	acts_on_population_of(CL:0000312)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000337)
GO:0022018	lateral ganglionic eminence cell proliferation	acts_on_population_of(CL:0000337)
GO:0007405	neuroblast proliferation	acts_on_population_of(CL:0000337)
GO:0007405	neuroblast proliferation	acts_on_population_of(CL:0000337)
GO:0021846	cell proliferation in forebrain	acts_on_population_of(CL:0000337)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000337)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000337)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000337)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000337)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000337)
GO:0002519	natural killer cell tolerance induction	acts_on_population_of(CL:0000351
GO:0032720	negative regulation of tumor necrosis factor production	acts_on_population_of(CL:0000351
GO:0032753	positive regulation of interleukin-4 production	acts_on_population_of(CL:0000351
GO:0010629	negative regulation of gene expression	acts_on_population_of(CL:0000351
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000351)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000351)
GO:0001834	trophectodermal cell proliferation	acts_on_population_of(CL:0000351)
GO:0019827	stem cell population maintenance	acts_on_population_of(CL:0000351)
GO:0019827	stem cell population maintenance	acts_on_population_of(CL:0000352)
GO:0019827	stem cell population maintenance	acts_on_population_of(CL:0000352)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000352)
GO:0034392	negative regulation of smooth muscle cell apoptotic process	acts_on_population_of(CL:0000359
GO:0044663	establishment or maintenance of cell type involved in phenotypic switching	acts_on_population_of(CL:0000359)
GO:0034392	negative regulation of smooth muscle cell apoptotic process	acts_on_population_of(CL:0000359)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000362)
GO:0002053	positive regulation of mesenchymal cell proliferation	acts_on_population_of(CL:0000514
GO:0060916	mesenchymal cell proliferation involved in lung development	acts_on_population_of(CL:0000514)
GO:0051450	myoblast proliferation	acts_on_population_of(CL:0000515)
GO:1903378	positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	acts_on_population_of(CL:0000530
GO:0008284	positive regulation of cell proliferation	acts_on_population_of(CL:0000540
GO:0048872	homeostasis of number of cells	acts_on_population_of(CL:0000540)
GO:0002260	lymphocyte homeostasis	acts_on_population_of(CL:0000542)
GO:0002260	lymphocyte homeostasis	acts_on_population_of(CL:0000542)
GO:0002260	lymphocyte homeostasis	acts_on_population_of(CL:0000542)
GO:0002260	lymphocyte homeostasis	acts_on_population_of(CL:0000542)
GO:0002260	lymphocyte homeostasis	acts_on_population_of(CL:0000542)
GO:2000406	positive regulation of T cell migration	acts_on_population_of(CL:0000546
GO:0051353	positive regulation of oxidoreductase activity	acts_on_population_of(CL:0000546
GO:0008283	cell proliferation	acts_on_population_of(CL:0000557)
GO:0090026	positive regulation of monocyte chemotaxis	acts_on_population_of(CL:0000576
GO:0045785	positive regulation of cell adhesion	acts_on_population_of(CL:0000576
GO:0045785	positive regulation of cell adhesion	acts_on_population_of(CL:0000576
GO:0045785	positive regulation of cell adhesion	acts_on_population_of(CL:0000576
GO:0071636	positive regulation of transforming growth factor beta production	acts_on_population_of(CL:0000576)
GO:0060267	positive regulation of respiratory burst	acts_on_population_of(CL:0000576)
GO:0060267	positive regulation of respiratory burst	acts_on_population_of(CL:0000576)
GO:0043011	myeloid dendritic cell differentiation	acts_on_population_of(CL:0000576)
GO:0010759	positive regulation of macrophage chemotaxis	acts_on_population_of(CL:0000581)
GO:0008009	chemokine activity	acts_on_population_of(CL:0000581)
GO:0042056	chemoattractant activity	acts_on_population_of(CL:0000581)
GO:0048872	homeostasis of number of cells	acts_on_population_of(CL:0000586)
GO:0051450	myoblast proliferation	acts_on_population_of(CL:0000594)
GO:0099605	regulation of action potential firing rate	acts_on_population_of(CL:0000598
GO:0032689	negative regulation of interferon-gamma production	acts_on_population_of(CL:0000623
GO:0010629	negative regulation of gene expression	acts_on_population_of(CL:0000623
GO:0030246	carbohydrate binding	acts_on_population_of(CL:0000623)
GO:1902714	negative regulation of interferon-gamma secretion	acts_on_population_of(CL:0000623)
GO:0010629	negative regulation of gene expression	acts_on_population_of(CL:0000623)
GO:0043616	keratinocyte proliferation	acts_on_population_of(CL:0000646)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000646)
GO:0043616	keratinocyte proliferation	acts_on_population_of(CL:0000646)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000656)
GO:0019827	stem cell population maintenance	acts_on_population_of(CL:0000681)
GO:1903204	negative regulation of oxidative stress-induced neuron death	acts_on_population_of(CL:0000700
GO:0022008	neurogenesis	acts_on_population_of(CL:0000700)
GO:0007267	cell-cell signaling	acts_on_population_of(CL:0000700)
GO:0050767	regulation of neurogenesis	acts_on_population_of(CL:0000700)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000723)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000723)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000723)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000723)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0000723)
GO:0050673	epithelial cell proliferation	acts_on_population_of(CL:0000731)
GO:0045785	positive regulation of cell adhesion	acts_on_population_of(CL:0000738)
GO:0045785	positive regulation of cell adhesion	acts_on_population_of(CL:0000738)
GO:0002687	positive regulation of leukocyte migration	acts_on_population_of(CL:0000738)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000746)
GO:1903206	negative regulation of hydrogen peroxide-induced cell death	acts_on_population_of(CL:0000746)
GO:0046716	muscle cell cellular homeostasis	acts_on_population_of(CL:0000746)
GO:0002262	myeloid cell homeostasis	acts_on_population_of(CL:0000763)
GO:0001780	neutrophil homeostasis	acts_on_population_of(CL:0000775)
GO:0001780	neutrophil homeostasis	acts_on_population_of(CL:0000775)
GO:0060267	positive regulation of respiratory burst	acts_on_population_of(CL:0000775)
GO:0048872	homeostasis of number of cells	acts_on_population_of(CL:0000775)
GO:2001200	positive regulation of dendritic cell differentiation	acts_on_population_of(CL:0000782
GO:2001184	positive regulation of interleukin-12 secretion	acts_on_population_of(CL:0000782
GO:0010628	positive regulation of gene expression	acts_on_population_of(CL:0000782)
GO:0042130	negative regulation of T cell proliferation	acts_on_population_of(CL:0000811)
GO:0043029	T cell homeostasis	acts_on_population_of(CL:0000815)
GO:0002322	B cell proliferation involved in immune response	acts_on_population_of(CL:0000817)
GO:0042100	B cell proliferation	acts_on_population_of(CL:0000826)
GO:0002262	myeloid cell homeostasis	acts_on_population_of(CL:0000839)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000839)
GO:0021846	cell proliferation in forebrain	acts_on_population_of(CL:0000839)
GO:0010628	positive regulation of gene expression	acts_on_population_of(CL:0000840
GO:0070371	ERK1 and ERK2 cascade	acts_on_population_of(CL:0000840)
GO:0048030	disaccharide binding	acts_on_population_of(CL:0000840)
GO:2000670	positive regulation of dendritic cell apoptotic process	acts_on_population_of(CL:0000840)
GO:0038066	p38MAPK cascade	acts_on_population_of(CL:0000840)
GO:0048536	spleen development	acts_on_population_of(CL:0000845)
GO:0001782	B cell homeostasis	acts_on_population_of(CL:0000845)
GO:0042100	B cell proliferation	acts_on_population_of(CL:0000958
GO:0071425	hematopoietic stem cell proliferation	acts_on_population_of(CL:0001008)
GO:2000562	negative regulation of CD4-positive, alpha-beta T cell proliferation	acts_on_population_of(CL:0001044)
GO:0005125	cytokine activity	acts_on_population_of(CL:0002092)
GO:0045651	positive regulation of macrophage differentiation	acts_on_population_of(CL:0002092)
GO:0001775	cell activation	acts_on_population_of(CL:0002139)
GO:0010838	positive regulation of keratinocyte proliferation	acts_on_population_of(CL:0002187
GO:0010839	negative regulation of keratinocyte proliferation	acts_on_population_of(CL:0002187
GO:0010839	negative regulation of keratinocyte proliferation	acts_on_population_of(CL:0002187)
GO:0010839	negative regulation of keratinocyte proliferation	acts_on_population_of(CL:0002187)
GO:1902035	positive regulation of hematopoietic stem cell proliferation	acts_on_population_of(CL:0002246)
GO:1902037	negative regulation of hematopoietic stem cell differentiation	acts_on_population_of(CL:0002246)
GO:0036335	intestinal stem cell homeostasis	acts_on_population_of(CL:0002250)
GO:0035019	somatic stem cell population maintenance	acts_on_population_of(CL:0002254)
GO:0008283	cell proliferation	acts_on_population_of(CL:0002322)
