GO_ID	GO_NAME	ANNOTATION_EXTENSION
GO:0032450	maltose alpha-glucosidase activity	activated_by(CHEBI:26710)
GO:0038181	bile acid receptor activity	activated_by(CHEBI:28834)
GO:0000978	RNA polymerase II core promoter proximal region sequence-specific DNA binding	activated_by(CHEBI:28939
GO:0008821	crossover junction endodeoxyribonuclease activity	activated_by(CHEBI:29035)
GO:0004382	guanosine-diphosphatase activity	activated_by(CHEBI:29035)
GO:0016791	phosphatase activity	activated_by(CHEBI:29035)
GO:0016887	ATPase activity	activated_by(CHEBI:29035)
GO:0004016	adenylate cyclase activity	activated_by(CHEBI:29035)
GO:0004651	polynucleotide 5'-phosphatase activity	activated_by(CHEBI:29035)
GO:0004693	cyclin-dependent protein serine/threonine kinase activity	activated_by(CHEBI:29035)
GO:0004029	aldehyde dehydrogenase (NAD) activity	activated_by(CHEBI:29103)
GO:0008441	3'(2'),5'-bisphosphate nucleotidase activity	activated_by(CHEBI:29103)
GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity	activated_by(CHEBI:29103)
GO:0004598	peptidylamidoglycolate lyase activity	activated_by(CHEBI:29105)
GO:0015276	ligand-gated ion channel activity	activated_by(CHEBI:29105)
GO:0033699	DNA 5'-adenosine monophosphate hydrolase activity	activated_by(CHEBI:29105)
GO:0004371	glycerone kinase activity	activated_by(CHEBI:29108)
GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity	activated_by(CHEBI:29108)
GO:0004382	guanosine-diphosphatase activity	activated_by(CHEBI:29108)
GO:0003917	DNA topoisomerase type I activity	activated_by(CHEBI:32588)
GO:0032450	maltose alpha-glucosidase activity	activated_by(CHEBI:32599)
GO:0032450	maltose alpha-glucosidase activity	activated_by(CHEBI:3312)
GO:0016990	arginine deiminase activity	activated_by(CHEBI:3312)
GO:0016791	phosphatase activity	activated_by(CHEBI:48828)
GO:0016887	ATPase activity	activated_by(CHEBI:48828)
GO:0043547	positive regulation of GTPase activity	activated_by(CHEBI:60568
GO:0017112	Rab guanyl-nucleotide exchange factor activity	activated_by(CHEBI:60568
GO:0033682	ATP-dependent 5'-3' DNA/RNA helicase activity	activated_by(CHEBI:63041)
GO:0046403	polynucleotide 3'-phosphatase activity	activated_by(CHEBI:63041)
GO:0017116	single-stranded DNA-dependent ATP-dependent DNA helicase activity	activated_by(CHEBI:63041)
GO:0032575	ATP-dependent 5'-3' RNA helicase activity	activated_by(CHEBI:63041)
GO:0004725	protein tyrosine phosphatase activity	activated_by(CHEBI:63247
GO:0032450	maltose alpha-glucosidase activity	activated_by(CHEBI:63317)
GO:0004525	ribonuclease III activity	activated_by(CHEBI:6636)
GO:0046403	polynucleotide 3'-phosphatase activity	activated_by(CHEBI:6636)
GO:0017116	single-stranded DNA-dependent ATP-dependent DNA helicase activity	activated_by(CHEBI:6636)
GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity	activated_by(CHEBI:6636)
GO:0033682	ATP-dependent 5'-3' DNA/RNA helicase activity	activated_by(CHEBI:6636)
GO:0032575	ATP-dependent 5'-3' RNA helicase activity	activated_by(CHEBI:6636)
GO:0048872	homeostasis of number of cells	acts_on_population_of(CL:0000023)
GO:0035019	somatic stem cell maintenance	acts_on_population_of(CL:0000036)
GO:0035019	somatic stem cell maintenance	acts_on_population_of(CL:0000037)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000038)
GO:0001777	T cell homeostatic proliferation	acts_on_population_of(CL:0000051)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000057)
GO:1903393	positive regulation of adherens junction organization	acts_on_population_of(CL:0000066
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:0000066
GO:1903387	positive regulation of homophilic cell adhesion	acts_on_population_of(CL:0000066)
GO:0010632	regulation of epithelial cell migration	acts_on_population_of(CL:0000066)
GO:2001286	regulation of caveolin-mediated endocytosis	acts_on_population_of(CL:0000066)
GO:0022407	regulation of cell-cell adhesion	acts_on_population_of(CL:0000066)
GO:2000641	regulation of early endosome to late endosome transport	acts_on_population_of(CL:0000066)
GO:0001954	positive regulation of cell-matrix adhesion	acts_on_population_of(CL:0000084
GO:1903237	negative regulation of leukocyte tethering or rolling	acts_on_population_of(CL:0000084
GO:0008009	chemokine activity	acts_on_population_of(CL:0000084
GO:0060326	cell chemotaxis	acts_on_population_of(CL:0000084
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:0000084
GO:0050798	activated T cell proliferation	acts_on_population_of(CL:0000084)
GO:0030336	negative regulation of cell migration	acts_on_population_of(CL:0000084)
GO:0042267	natural killer cell mediated cytotoxicity	acts_on_population_of(CL:0000084)
GO:0050901	leukocyte tethering or rolling	acts_on_population_of(CL:0000084)
GO:0002260	lymphocyte homeostasis	acts_on_population_of(CL:0000084)
GO:0042098	T cell proliferation	acts_on_population_of(CL:0000084)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000084)
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:0000084)
GO:0007160	cell-matrix adhesion	acts_on_population_of(CL:0000084)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000100)
GO:0010812	negative regulation of cell-substrate adhesion	acts_on_population_of(CL:0000101)
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:0000115
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:0000115
GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	acts_on_population_of(CL:0000115)
GO:0061041	regulation of wound healing	acts_on_population_of(CL:0000115)
GO:0048872	homeostasis of number of cells	acts_on_population_of(CL:0000121)
GO:0001649	osteoblast differentiation	acts_on_population_of(CL:0000134)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000138)
GO:0002064	epithelial cell development	acts_on_population_of(CL:0000162)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000169)
GO:0045499	chemorepellent activity	acts_on_population_of(CL:0000192)
GO:0050919	negative chemotaxis	acts_on_population_of(CL:0000192)
GO:0001912	positive regulation of leukocyte mediated cytotoxicity	acts_on_population_of(CL:0000210)
GO:0034101	erythrocyte homeostasis	acts_on_population_of(CL:0000232)
GO:0030336	negative regulation of cell migration	acts_on_population_of(CL:0000235
GO:0001782	B cell homeostasis	acts_on_population_of(CL:0000236)
GO:0002260	lymphocyte homeostasis	acts_on_population_of(CL:0000236)
GO:0002322	B cell proliferation involved in immune response	acts_on_population_of(CL:0000236)
GO:0001558	regulation of cell growth	acts_on_population_of(CL:0000312)
GO:0030336	negative regulation of cell migration	acts_on_population_of(CL:0000312)
GO:0021799	cerebral cortex radially oriented cell migration	acts_on_population_of(CL:0000337)
GO:0035019	somatic stem cell maintenance	acts_on_population_of(CL:0000351)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000352)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000362)
GO:1903378	positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	acts_on_population_of(CL:0000530
GO:0048872	homeostasis of number of cells	acts_on_population_of(CL:0000540)
GO:0030334	regulation of cell migration	acts_on_population_of(CL:0000541)
GO:0002260	lymphocyte homeostasis	acts_on_population_of(CL:0000542)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000557)
GO:0060267	positive regulation of respiratory burst	acts_on_population_of(CL:0000576)
GO:0060267	positive regulation of respiratory burst	acts_on_population_of(CL:0000576)
GO:0008009	chemokine activity	acts_on_population_of(CL:0000581)
GO:0042056	chemoattractant activity	acts_on_population_of(CL:0000581)
GO:0048872	homeostasis of number of cells	acts_on_population_of(CL:0000586)
GO:0051450	myoblast proliferation	acts_on_population_of(CL:0000594)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000646)
GO:0019827	stem cell maintenance	acts_on_population_of(CL:0000681)
GO:1903204	negative regulation of oxidative stress-induced neuron death	acts_on_population_of(CL:0000700
GO:0035019	somatic stem cell maintenance	acts_on_population_of(CL:0000723)
GO:0001780	neutrophil homeostasis	acts_on_population_of(CL:0000775)
GO:0060267	positive regulation of respiratory burst	acts_on_population_of(CL:0000775)
GO:0048872	homeostasis of number of cells	acts_on_population_of(CL:0000775)
GO:0042130	negative regulation of T cell proliferation	acts_on_population_of(CL:0000811)
GO:0042100	B cell proliferation	acts_on_population_of(CL:0000826)
GO:0008283	cell proliferation	acts_on_population_of(CL:0000839)
GO:0001782	B cell homeostasis	acts_on_population_of(CL:0000845)
GO:0001775	cell activation	acts_on_population_of(CL:0002139)
GO:1902035	positive regulation of hematopoietic stem cell proliferation	acts_on_population_of(CL:0002246)
GO:1902037	negative regulation of hematopoietic stem cell differentiation	acts_on_population_of(CL:0002246)
GO:0036335	intestinal stem cell homeostasis	acts_on_population_of(CL:0002250)
GO:0008283	cell proliferation	acts_on_population_of(CL:0002322)
GO:0048333	mesodermal cell differentiation	acts_on_population_of(CL:0002322)
GO:0010668	ectodermal cell differentiation	acts_on_population_of(CL:0002322)
GO:1903225	negative regulation of endodermal cell differentiation	acts_on_population_of(CL:0002322)
GO:0035987	endodermal cell differentiation	acts_on_population_of(CL:0002322)
GO:0033598	mammary gland epithelial cell proliferation	acts_on_population_of(CL:0002327)
GO:0035019	somatic stem cell maintenance	acts_on_population_of(CL:0002335)
GO:1902037	negative regulation of hematopoietic stem cell differentiation	acts_on_population_of(CL:0002569)
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:0002618)
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:0002618)
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:0002618)
GO:0034115	negative regulation of heterotypic cell-cell adhesion	acts_on_population_of(CL:0002618)
GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	acts_on_population_of(CL:0005023)
GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	acts_on_population_of(CL:0005023)
GO:0008045	motor neuron axon guidance	acts_on_population_of(CL:0005025)
GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	acts_on_population_of(CL:0005025)
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:1001568)
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:1001568)
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:1001568)
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:1001568)
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:2000008)
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:2000008)
GO:0034113	heterotypic cell-cell adhesion	acts_on_population_of(CL:2000008)
GO:0033043	regulation of organelle organization	acts_on_population_of(GO:0005776)
GO:0051640	organelle localization	acts_on_population_of(GO:0043186)
GO:0048284	organelle fusion	acts_on_population_of(GO:0055037)
GO:1902667	regulation of axon guidance	acts_on_population_of(WBbt:0003832)
GO:1902667	regulation of axon guidance	acts_on_population_of(WBbt:0003832)
GO:0030334	regulation of cell migration	acts_on_population_of(WBbt:0004054)
GO:0030334	regulation of cell migration	acts_on_population_of(WBbt:0004056)
GO:0043065	positive regulation of apoptotic process	acts_on_population_of(WBbt:0004512
GO:0043065	positive regulation of apoptotic process	acts_on_population_of(WBbt:0004512
GO:0043065	positive regulation of apoptotic process	acts_on_population_of(WBbt:0004512)
GO:0043065	positive regulation of apoptotic process	acts_on_population_of(WBbt:0004513
GO:0043065	positive regulation of apoptotic process	acts_on_population_of(WBbt:0004513
GO:0043065	positive regulation of apoptotic process	acts_on_population_of(WBbt:0004513)
GO:0030334	regulation of cell migration	acts_on_population_of(WBbt:0005232)
GO:0030336	negative regulation of cell migration	acts_on_population_of(WBbt:0005232)
GO:0048666	neuron development	acts_on_population_of(WBbt:0005237)
GO:1902855	regulation of nonmotile primary cilium assembly	acts_on_population_of(WBbt:0005671)
GO:0019827	stem cell maintenance	acts_on_population_of(WBbt:0005753)
GO:0030334	regulation of cell migration	acts_on_population_of(WBbt:0006830)
GO:1902667	regulation of axon guidance	acts_on_population_of(WBbt:0006830)
GO:1902667	regulation of axon guidance	acts_on_population_of(WBbt:0006830)
GO:0030334	regulation of cell migration	acts_on_population_of(WBbt:0006863)
GO:0030334	regulation of cell migration	acts_on_population_of(WBbt:0006865)
GO:1901074	regulation of engulfment of apoptotic cell	acts_on_population_of(WBbt:0006865)
GO:0030334	regulation of cell migration	acts_on_population_of(WBbt:0008598)
GO:0055037	recycling endosome	adjacent_to(GO:0000922
GO:0055037	recycling endosome	adjacent_to(GO:0072686
GO:0035425	autocrine signaling	causally_upstream_of(GO:0001837)
GO:0038001	paracrine signaling	causally_upstream_of(GO:0001837)
GO:0004674	protein serine/threonine kinase activity	causally_upstream_of(GO:0004521
GO:1990579	peptidyl-serine trans-autophosphorylation	causally_upstream_of(GO:0004521
GO:0071360	cellular response to exogenous dsRNA	causally_upstream_of(GO:0005515
GO:0005515	protein binding	causally_upstream_of(GO:0006611)
GO:0018105	peptidyl-serine phosphorylation	causally_upstream_of(GO:0010801
GO:0051572	negative regulation of histone H3-K4 methylation	causally_upstream_of(GO:0019216)
GO:0061086	negative regulation of histone H3-K27 methylation	causally_upstream_of(GO:0019216)
GO:0045815	positive regulation of gene expression, epigenetic	causally_upstream_of(GO:0019216)
GO:0006468	protein phosphorylation	causally_upstream_of(GO:0042307)
GO:0014065	phosphatidylinositol 3-kinase signaling	causally_upstream_of(GO:0043491
GO:0008333	endosome to lysosome transport	causally_upstream_of(GO:0044257)
GO:0010628	positive regulation of gene expression	causally_upstream_of(GO:0045943)
GO:0045727	positive regulation of translation	causally_upstream_of(GO:0051091)
GO:1990440	positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	causally_upstream_of(GO:0070059)
GO:0014065	phosphatidylinositol 3-kinase signaling	causally_upstream_of(GO:0070371
GO:0005088	Ras guanyl-nucleotide exchange factor activity	causally_upstream_of(GO:0070372)
GO:0043547	positive regulation of GTPase activity	causally_upstream_of(GO:0070372)
GO:0070585	protein localization to mitochondrion	causally_upstream_of(GO:0090140)
GO:0004674	protein serine/threonine kinase activity	causally_upstream_of(GO:1903146)
GO:0061098	positive regulation of protein tyrosine kinase activity	causally_upstream_of(GO:1903406)
GO:0004674	protein serine/threonine kinase activity	causally_upstream_of(GO:1903993)
GO:0031293	membrane protein intracellular domain proteolysis	causally_upstream_of(GO:1990440)
GO:0031293	membrane protein intracellular domain proteolysis	causally_upstream_of(GO:1990440)
GO:1903912	negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation	causally_upstream_of(GO:1990441)
GO:0042803	protein homodimerization activity	causally_upstream_of(GO:1990579)
GO:0015616	DNA translocase activity	dependent_on(CHEBI:15422
GO:0000150	recombinase activity	dependent_on(CHEBI:15422)
GO:0015616	DNA translocase activity	dependent_on(CHEBI:15422)
GO:0008017	microtubule binding	dependent_on(CHEBI:15422)
GO:0044594	17-beta-hydroxysteroid dehydrogenase (NAD+) activity	dependent_on(CHEBI:15846
GO:0044594	17-beta-hydroxysteroid dehydrogenase (NAD+) activity	dependent_on(CHEBI:15846
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	dependent_on(CHEBI:15846
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	dependent_on(CHEBI:15846)
GO:0003924	GTPase activity	dependent_on(CHEBI:15996)
GO:0031584	activation of phospholipase D activity	dependent_on(CHEBI:15996)
GO:0048550	negative regulation of pinocytosis	dependent_on(CHEBI:16113
GO:2001287	negative regulation of caveolin-mediated endocytosis	dependent_on(CHEBI:16113)
GO:0003984	acetolactate synthase activity	dependent_on(CHEBI:16238
GO:0000246	delta24(24-1) sterol reductase activity	dependent_on(CHEBI:16238)
GO:0055114	oxidation-reduction process	dependent_on(CHEBI:16238)
GO:0031640	killing of cells of other organism	dependent_on(CHEBI:16240)
GO:0030331	estrogen receptor binding	dependent_on(CHEBI:16469)
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	dependent_on(CHEBI:16469)
GO:0004879	ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity	dependent_on(CHEBI:16469)
GO:0005515	protein binding	dependent_on(CHEBI:16469)
GO:0030374	ligand-dependent nuclear receptor transcription coactivator activity	dependent_on(CHEBI:16469)
GO:0030838	positive regulation of actin filament polymerization	dependent_on(CHEBI:17489)
GO:0071805	potassium ion transmembrane transport	dependent_on(CHEBI:17489)
GO:0005248	voltage-gated sodium channel activity	dependent_on(CHEBI:17489)
GO:0005249	voltage-gated potassium channel activity	dependent_on(CHEBI:17489)
GO:0030041	actin filament polymerization	dependent_on(CHEBI:17489)
GO:0035725	sodium ion transmembrane transport	dependent_on(CHEBI:17489)
GO:0002031	G-protein coupled receptor internalization	dependent_on(CHEBI:17489)
GO:0008732	L-allo-threonine aldolase activity	dependent_on(CHEBI:18405)
GO:0033627	cell adhesion mediated by integrin	dependent_on(CHEBI:18420
GO:0033627	cell adhesion mediated by integrin	dependent_on(CHEBI:18420
GO:0007160	cell-matrix adhesion	dependent_on(CHEBI:18420
GO:0007160	cell-matrix adhesion	dependent_on(CHEBI:18420
GO:0005518	collagen binding	dependent_on(CHEBI:18420
GO:0005518	collagen binding	dependent_on(CHEBI:18420
GO:0042803	protein homodimerization activity	dependent_on(CHEBI:18420
GO:0038064	collagen receptor activity	dependent_on(CHEBI:18420
GO:0038064	collagen receptor activity	dependent_on(CHEBI:18420
GO:0006929	substrate-dependent cell migration	dependent_on(CHEBI:18420
GO:0038065	collagen-activated signaling pathway	dependent_on(CHEBI:18420
GO:0038065	collagen-activated signaling pathway	dependent_on(CHEBI:18420
GO:0016887	ATPase activity	dependent_on(CHEBI:18420)
GO:0042803	protein homodimerization activity	dependent_on(CHEBI:18420)
GO:0043531	ADP binding	dependent_on(CHEBI:18420)
GO:0070207	protein homotrimerization	dependent_on(CHEBI:18420)
GO:0043141	ATP-dependent 5'-3' DNA helicase activity	dependent_on(CHEBI:18420)
GO:0008094	DNA-dependent ATPase activity	dependent_on(CHEBI:18420)
GO:0005515	protein binding	dependent_on(CHEBI:22065)
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	dependent_on(CHEBI:28632)
GO:0051864	histone demethylase activity (H3-K36 specific)	dependent_on(CHEBI:29033)
GO:0007160	cell-matrix adhesion	dependent_on(CHEBI:29035
GO:0050839	cell adhesion molecule binding	dependent_on(CHEBI:29035
GO:0098640	integrin binding involved in cell-matrix adhesion	dependent_on(CHEBI:29035
GO:0050839	cell adhesion molecule binding	dependent_on(CHEBI:29035
GO:0005178	integrin binding	dependent_on(CHEBI:29035
GO:0033622	integrin activation	dependent_on(CHEBI:29035
GO:0001968	fibronectin binding	dependent_on(CHEBI:29035)
GO:0043141	ATP-dependent 5'-3' DNA helicase activity	dependent_on(CHEBI:29035)
GO:0004784	superoxide dismutase activity	dependent_on(CHEBI:29035)
GO:0003081	regulation of systemic arterial blood pressure by renin-angiotensin	dependent_on(CHEBI:29101)
GO:0016887	ATPase activity	dependent_on(CHEBI:29103)
GO:0043565	sequence-specific DNA binding	dependent_on(CHEBI:29105)
GO:0010428	methyl-CpNpG binding	dependent_on(CHEBI:29105)
GO:0042803	protein homodimerization activity	dependent_on(CHEBI:29108
GO:0070207	protein homotrimerization	dependent_on(CHEBI:29108
GO:0051260	protein homooligomerization	dependent_on(CHEBI:29108
GO:0098744	1-phosphatidylinositol 4-kinase activator activity	dependent_on(CHEBI:29108
GO:0004668	protein-arginine deiminase activity	dependent_on(CHEBI:29108)
GO:0005515	protein binding	dependent_on(CHEBI:29108)
GO:0010917	negative regulation of mitochondrial membrane potential	dependent_on(CHEBI:29108)
GO:0030836	positive regulation of actin filament depolymerization	dependent_on(CHEBI:29108)
GO:0035794	positive regulation of mitochondrial membrane permeability	dependent_on(CHEBI:29108)
GO:0042803	protein homodimerization activity	dependent_on(CHEBI:29108)
GO:0045159	myosin II binding	dependent_on(CHEBI:29108)
GO:1990182	exosomal secretion	dependent_on(CHEBI:29108)
GO:0050432	catecholamine secretion	dependent_on(CHEBI:29108)
GO:0018101	protein citrullination	dependent_on(CHEBI:29108)
GO:0010796	regulation of multivesicular body size	dependent_on(CHEBI:29108)
GO:0017075	syntaxin-1 binding	dependent_on(CHEBI:29108)
GO:0018101	protein citrullination	dependent_on(CHEBI:29108)
GO:0019904	protein domain specific binding	dependent_on(CHEBI:29108)
GO:1903923	positive regulation of protein processing in phagocytic vesicle	dependent_on(CHEBI:29108)
GO:0004668	protein-arginine deiminase activity	dependent_on(CHEBI:29108)
GO:0005516	calmodulin binding	dependent_on(CHEBI:29108)
GO:0006911	phagocytosis, engulfment	dependent_on(CHEBI:29108)
GO:0051016	barbed-end actin filament capping	dependent_on(CHEBI:29108)
GO:0004517	nitric-oxide synthase activity	dependent_on(CHEBI:29108)
GO:0005886	plasma membrane	dependent_on(CHEBI:29108)
GO:0051603	proteolysis involved in cellular protein catabolic process	dependent_on(CHEBI:29108)
GO:2001065	mannan binding	dependent_on(CHEBI:29108)
GO:0036349	galactose-specific flocculation	dependent_on(CHEBI:29108)
GO:0003779	actin binding	dependent_on(CHEBI:29108)
GO:0015485	cholesterol binding	dependent_on(CHEBI:29108)
GO:0016209	antioxidant activity	dependent_on(CHEBI:29256)
GO:0045892	negative regulation of transcription, DNA-templated	dependent_on(CHEBI:29309)
GO:0003689	DNA clamp loader activity	dependent_on(CHEBI:30616)
GO:0008241	peptidyl-dipeptidase activity	dependent_on(CHEBI:35176)
GO:0001664	G-protein coupled receptor binding	dependent_on(CHEBI:37550
GO:1903141	negative regulation of establishment of endothelial barrier	dependent_on(CHEBI:37550
GO:0005178	integrin binding	dependent_on(CHEBI:37550
GO:1903142	positive regulation of establishment of endothelial barrier	dependent_on(CHEBI:37550
GO:0008094	DNA-dependent ATPase activity	dependent_on(CHEBI:4705)
GO:2000378	negative regulation of reactive oxygen species metabolic process	dependent_on(CHEBI:47924
GO:0042326	negative regulation of phosphorylation	dependent_on(CHEBI:47924
GO:0042327	positive regulation of phosphorylation	dependent_on(CHEBI:47924
GO:2000379	positive regulation of reactive oxygen species metabolic process	dependent_on(CHEBI:47924
GO:0060546	negative regulation of necroptotic process	dependent_on(CHEBI:47924)
GO:0060545	positive regulation of necroptotic process	dependent_on(CHEBI:47924)
GO:0070266	necroptotic process	dependent_on(CHEBI:47924)
GO:0032874	positive regulation of stress-activated MAPK cascade	dependent_on(CHEBI:50527
GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	dependent_on(CHEBI:50527
GO:0010917	negative regulation of mitochondrial membrane potential	dependent_on(CHEBI:50527)
GO:0043065	positive regulation of apoptotic process	dependent_on(CHEBI:50527)
GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress	dependent_on(CHEBI:50527)
GO:0043394	proteoglycan binding	dependent_on(CHEBI:59640)
GO:0008094	DNA-dependent ATPase activity	dependent_on(CHEBI:9160)
GO:0042803	protein homodimerization activity	dependent_on(CHEBI:9532)
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	dependent_on(GO:0000165
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	dependent_on(GO:0000165
GO:0005783	endoplasmic reticulum	dependent_on(GO:0000226)
GO:0003721	telomeric template RNA reverse transcriptase activity	dependent_on(GO:0000332
GO:0000333	telomerase catalytic core complex	dependent_on(GO:0000332
GO:0016887	ATPase activity	dependent_on(GO:0000786)
GO:0016887	ATPase activity	dependent_on(GO:0000786)
GO:0016887	ATPase activity	dependent_on(GO:0000786)
GO:0016887	ATPase activity	dependent_on(GO:0000786)
GO:0000778	condensed nuclear chromosome kinetochore	dependent_on(GO:0000818)
GO:0005730	nucleolus	dependent_on(GO:0001054
GO:1901216	positive regulation of neuron death	dependent_on(GO:0001774
GO:0097284	hepatocyte apoptotic process	dependent_on(GO:0001775
GO:0005515	protein binding	dependent_on(GO:0001775
GO:0098592	cytoplasmic side of apical plasma membrane	dependent_on(GO:0001775)
GO:0034446	substrate adhesion-dependent cell spreading	dependent_on(GO:0001968)
GO:0009986	cell surface	dependent_on(GO:0002253
GO:0045919	positive regulation of cytolysis	dependent_on(GO:0002430)
GO:0003721	telomeric template RNA reverse transcriptase activity	dependent_on(GO:0003721)
GO:0000333	telomerase catalytic core complex	dependent_on(GO:0003721)
GO:0033138	positive regulation of peptidyl-serine phosphorylation	dependent_on(GO:0003779)
GO:1903994	positive regulation of protein stabilization	dependent_on(GO:0003779)
GO:0042803	protein homodimerization activity	dependent_on(GO:0003810)
GO:0001867	complement activation, lectin pathway	dependent_on(GO:0003823
GO:0097527	necroptotic signaling pathway	dependent_on(GO:0004672)
GO:0038083	peptidyl-tyrosine autophosphorylation	dependent_on(GO:0004683)
GO:2000310	regulation of N-methyl-D-aspartate selective glutamate receptor activity	dependent_on(GO:0004697
GO:0045429	positive regulation of nitric oxide biosynthetic process	dependent_on(GO:0004697)
GO:0038083	peptidyl-tyrosine autophosphorylation	dependent_on(GO:0004697)
GO:0043524	negative regulation of neuron apoptotic process	dependent_on(GO:0004707)
GO:0001774	microglial cell activation	dependent_on(GO:0004708)
GO:2000811	negative regulation of anoikis	dependent_on(GO:0004713)
GO:2000811	negative regulation of anoikis	dependent_on(GO:0004713)
GO:2000811	negative regulation of anoikis	dependent_on(GO:0004713)
GO:2000811	negative regulation of anoikis	dependent_on(GO:0004713)
GO:2000310	regulation of N-methyl-D-aspartate selective glutamate receptor activity	dependent_on(GO:0004715)
GO:0051968	positive regulation of synaptic transmission, glutamatergic	dependent_on(GO:0004715)
